noise1,noise2,noise3,noise4,gaze1,gaze2,gaze3,gaze4
look,hey,look,look,look,look,look,look
hey,look,look,hey,hey,look,look,hey
hey,hey,hey,look,look,hey,hey,look
hey,look,look,hey,look,look,hey,look
hey,look,hey,hey,look,hey,hey,hey
look,look,look,look,hey,hey,look,look
hey,look,hey,look,look,hey,hey,look
look,hey,hey,hey,look,look,look,look
look,hey,look,look,hey,hey,look,hey
look,look,look,look,look,hey,hey,look
hey,look,hey,hey,hey,look,look,hey
look,hey,look,hey,hey,look,hey,hey
hey,hey,hey,look,hey,look,hey,look
look,hey,hey,look,look,look,hey,hey
look,look,hey,hey,hey,hey,look,hey
hey,hey,look,hey,hey,hey,look,hey
look,look,look,hey,hey,hey,look,hey
hey,look,look,look,look,hey,hey,hey
look,look,hey,look,hey,look,hey,look
hey,look,look,look,look,look,hey,look
hey,look,hey,hey,hey,look,look,look
hey,hey,hey,look,look,hey,look,hey
look,hey,look,hey,look,hey,look,look
look,hey,hey,hey,look,look,hey,hey
look,hey,hey,hey,hey,hey,look,look
look,look,hey,hey,hey,look,look,look
look,hey,look,look,hey,look,look,hey
hey,look,look,look,hey,look,hey,look
hey,hey,look,hey,hey,hey,hey,hey
hey,hey,look,look,look,hey,hey,hey
look,hey,hey,look,look,look,hey,hey
hey,look,hey,hey,look,hey,look,look
